iso_code,country,sdg_region,bound,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,
BGR,Bulgaria,Europe and Northern America,Median,18.3457,18.8739,19.2041,19.2124,19.1369,19.2339,19.3910,19.3210,18.8791,18.2198,17.5006,16.7532,15.9560,15.1046,14.2033,13.2847,12.4496,11.8331,11.4499,11.1636,10.8396,10.4217,9.8985,9.2936,8.6934,8.1593,7.7012,7.3063,6.9655,6.6905,6.4777,6.3125,6.1829,6.0768,,,,,,,,,
BGR,Bulgaria,Europe and Northern America,Upper,18.7418,19.3261,19.6701,19.6236,19.6046,19.6904,19.8516,19.8168,19.3260,18.6700,17.9237,17.1669,16.3826,15.5012,14.6015,13.6368,12.7994,12.1857,11.7691,11.4980,11.1608,10.7525,10.2226,9.5906,8.9977,8.4422,7.9735,7.5767,7.2265,6.9581,6.7367,6.5764,6.4807,6.5019,,,,,,,,,
BHR,Bahrain,Northern Africa and Western Asia,Lower,22.2256,21.9266,21.3059,20.2956,18.9714,17.4618,15.9324,14.5802,13.4642,12.5841,11.9230,11.4401,11.0636,10.7580,10.4574,10.1394,9.7774,9.3725,8.9575,8.5558,8.2030,7.9087,7.6841,7.5181,7.3964,7.3140,7.2759,7.2821,7.3467,7.4458,7.5782,7.7265,7.8416,7.8874,,,,,,,,,
BHR,Bahrain,Northern Africa and Western Asia,Median,23.0549,22.7312,22.0913,21.0457,19.6982,18.1611,16.6207,15.2323,14.0890,13.1816,12.4975,11.9879,11.5975,11.2722,10.9656,10.6254,10.2512,9.8356,9.4019,8.9779,8.6100,8.3026,8.0587,7.8823,7.7599,7.6798,7.6419,7.6529,7.7201,7.8330,7.9892,8.1821,8.3918,8.5957,,,,,,,,,
BHR,Bahrain,Northern Africa and Western Asia,Upper,23.8715,23.5450,22.8791,21.8097,20.4410,18.8906,17.3154,15.9172,14.7366,13.8136,13.0944,12.5610,12.1512,11.8080,11.4834,11.1312,10.7459,10.3217,9.8606,9.4291,9.0461,8.7216,8.4699,8.2779,8.1444,8.0521,8.0207,8.0341,8.1013,8.2271,8.4127,8.6535,8.9858,9.3792,,,,,,,,,
BHS,Bahamas,Latin America and the Caribbean,Lower,22.2092,21.1583,20.1610,19.1997,18.2824,17.4232,16.6343,15.9761,15.4907,15.2516,15.2346,15.3289,15.5356,15.7548,15.8905,15.9102,15.7850,15.5470,15.2233,14.8488,14.4621,14.0878,13.7709,13.4805,13.2138,12.9969,12.8073,12.6126,12.3818,21.1549,11.7077,11.2877,10.7770,10.2493,,,,,,,,,
BHS,Bahamas,Latin America and the Caribbean,Median,23.3681,22.2774,21.2378,20.2504,19.2886,18.3927,17.5721,16.9224,16.4595,16.2306,16.2017,16.3203,16.5208,16.7278,16.8569,16.8699,16.7507,16.5070,16.1778,15.7951,15.4077,15.0471,14.7152,14.4146,14.1613,13.9499,13.7778,13.6473,13.5342,23.5059,13.3016,13.1423,12.9326,12.6869,,,,,,,,,
BHS,Bahamas,Latin America and the Caribbean,Upper,24.5956,23.4566,22.3694,21.3242,20.3418,19.4459,18.6367,17.9665,17.5035,17.2596,17.2412,17.3787,17.5813,17.7885,17.8944,17.8863,17.7606,17.5120,17.2123,16.8344,16.4465,16.0727,15.7219,15.4299,15.1814,14.9754,14.8229,14.7267,14.7479,26.1145,15.1354,15.3525,15.5291,15.6622,,,,,,,,,
BIH,Bosnia and Herzegovina,Europe and Northern America,Lower,17.7345,16.3799,55.6194,55.9966,13.2424,18.3587,11.7926,11.1436,10.5074,9.8604,9.2332,8.6386,8.1154,7.6894,7.3492,7.1062,6.9310,6.8030,6.7040,6.6181,6.5405,6.4714,6.4269,6.4010,6.4057,6.4387,6.4798,6.4996,6.4772,6.3988,6.2680,6.0806,5.8285,5.5405,,,,,,,,,
BIH,Bosnia and Herzegovina,Europe and Northern America,Median,18.1836,16.8989,57.8434,58.6643,13.9547,19.3721,12.4213,11.6841,10.9452,10.2280,9.5460,8.9283,8.3980,7.9664,7.6299,7.3831,7.2082,7.0816,6.9840,6.9045,6.8331,6.7718,6.7269,6.7049,6.7110,6.7389,6.7753,6.7907,6.7645,6.6947,6.5741,6.4110,6.2277,6.0421,,,,,,,,,
BIH,Bosnia and Herzegovina,Europe and Northern America,Upper,18.6557,17.4285,60.1057,61.4325,14.7114,20.4536,13.0867,12.2545,11.4159,10.6229,9.8924,9.2520,8.7116,8.2686,7.9270,7.6715,7.4911,7.3607,7.2654,7.1984,7.1318,7.0782,7.0458,7.0256,7.0295,7.0563,7.0834,7.0979,7.0708,7.0085,6.8945,6.7621,6.6602,6.5904,,,,,,,,,
BLR,Belarus,Europe and Northern America,Lower,14.8751,14.8655,15.0196,15.2058,15.3484,15.3395,15.1665,14.7765,14.1629,13.3802,12.4624,11.5465,10.6650,9.8784,9.1906,8.4949,7.7960,7.0987,6.4492,5.8917,5.4155,5.0299,4.7057,4.4262,4.1813,3.9467,3.7196,3.4772,3.2116,2.9125,2.6203,2.3589,2.1331,1.9430,,,,,,,,,
BLR,Belarus,Europe and Northern America,Median,15.2043,15.1845,15.3319,15.5268,15.6642,15.6727,15.4985,15.1088,14.4898,13.6783,12.7662,11.8343,10.9515,10.1523,9.4348,8.7385,8.0149,7.2997,6.6434,6.0749,5.5929,5.1936,4.8599,4.5767,4.3245,4.0878,3.8536,3.6154,3.3726,3.1323,2.9142,2.7269,2.5723,2.4415,,,,,,,,,
